road_number,accidents_number,average_duration
A1,4345,80.94867663981589
A10,2656,45.58433734939759
A12,6542,95.41302354020178
A13,884,43.94230769230769
A15,5291,39.068229068229066
A16,4028,39.156653426017876
A17,396,42.21212121212121
A18,166,49.825301204819276
A2,7997,65.17706639989996
A20,2505,44.428343313373254
A200,70,42.98571428571429
A208,16,52.4375
A22,214,48.26168224299065
A256,23,75.56521739130434
A27,3768,42.92595541401274
A270,18,63.111111111111114
A28,4372,81.4183440073193
A29,964,41.0051867219917
A30,291,39.618556701030926
A31,87,43.298850574712645
A32,479,54.97494780793319
A325,127,62.09448818897638
A326,40,59.7
A348,50,53.4
A35,383,441.23498694516974
A37,241,48.058091286307054
A38,84,36.29761904761905
A4,6461,119.99318990868287
A44,464,53.258620689655174
A5,621,45.47665056360709
A50,3384,136.51743498817967
A58,3098,44.392511297611364
A59,1398,41.21530758226037
A6,1562,46.63444302176696
A65,112,41.089285714285715
A67,1127,181.20408163265307
A7,2780,102.27913669064748
A73,1498,146.82910547396529
A74,13,40.15384615384615
A76,489,51.558282208588956
A77,39,56.23076923076923
A79,133,49.19548872180451
A8,558,38.41756272401434
A9,2338,240.66638152266896
