Day,Time ranges,Number of incidents,Average Travel Time,Probability of <18 mins
Monday,0-5,148,761.80,0.75
Monday,6-9,762,738.88,0.77
Monday,10-14,681,741.62,0.79
Monday,15-18,880,739.85,0.78
Monday,19-23,345,754.15,0.76
Tuesday,0-5,121,654.08,0.88
Tuesday,6-9,744,747.09,0.78
Tuesday,10-14,685,713.71,0.81
Tuesday,15-18,999,711.91,0.80
Tuesday,19-23,367,751.79,0.78
Wednesday,0-5,97,814.84,0.75
Wednesday,6-9,604,723.25,0.79
Wednesday,10-14,710,754.75,0.77
Wednesday,15-18,897,711.91,0.80
Wednesday,19-23,372,711.18,0.80
Thursday,0-5,109,733.67,0.75
Thursday,6-9,737,768.16,0.75
Thursday,10-14,702,743.25,0.77
Thursday,15-18,1033,731.30,0.80
Thursday,19-23,376,744.04,0.78
Friday,0-5,154,646.98,0.84
Friday,6-9,516,735.77,0.76
Friday,10-14,851,767.74,0.74
Friday,15-18,1093,723.50,0.79
Friday,19-23,428,716.57,0.79
Saturday,0-5,0,NAN,NAN
Saturday,6-9,0,NAN,NAN
Saturday,10-14,0,NAN,NAN
Saturday,15-18,0,NAN,NAN
Saturday,19-23,0,NAN,NAN
Sunday,0-5,0,NAN,NAN
Sunday,6-9,0,NAN,NAN
Sunday,10-14,2,905.42,0.50
Sunday,15-18,2,704.00,0.50
Sunday,19-23,7,570.95,0.86
