Day,Time ranges,Number of incidents,Average Travel Time,Probability of <18 mins
Monday,0-5,148,669.75,0.84
Monday,6-9,762,607.46,0.89
Monday,10-14,681,631.15,0.86
Monday,15-18,880,618.38,0.88
Monday,19-23,345,606.12,0.88
Tuesday,0-5,121,618.16,0.86
Tuesday,6-9,744,596.39,0.90
Tuesday,10-14,685,624.95,0.88
Tuesday,15-18,999,586.70,0.90
Tuesday,19-23,367,646.14,0.87
Wednesday,0-5,97,724.96,0.86
Wednesday,6-9,604,622.06,0.89
Wednesday,10-14,710,617.69,0.88
Wednesday,15-18,897,628.01,0.88
Wednesday,19-23,372,601.83,0.89
Thursday,0-5,109,664.60,0.89
Thursday,6-9,737,628.22,0.89
Thursday,10-14,702,621.79,0.89
Thursday,15-18,1033,599.65,0.90
Thursday,19-23,376,622.98,0.87
Friday,0-5,154,614.07,0.88
Friday,6-9,516,591.64,0.91
Friday,10-14,851,639.61,0.88
Friday,15-18,1093,623.07,0.88
Friday,19-23,428,582.84,0.90
Saturday,0-5,0,NAN,NAN
Saturday,6-9,0,NAN,NAN
Saturday,10-14,0,NAN,NAN
Saturday,15-18,0,NAN,NAN
Saturday,19-23,0,NAN,NAN
Sunday,0-5,0,NAN,NAN
Sunday,6-9,0,NAN,NAN
Sunday,10-14,2,491.09,1.00
Sunday,15-18,2,345.36,1.00
Sunday,19-23,7,534.09,1.00
